Belief In Earning Opportunity Equality,Belief In Pay Equality,Education Helps Women,Role Models Help Women,Family Planning Helps Women,Maternity Pay And Childcare Helps Women,Minimum Wage Help Women,Access To Banking Helps Women,Womens Groups And Charities Helps Women,What Helps Women?,Fear Of Violence Is A Barrier,Laws Against Women Working Is A Barrier,Family Responsibilities Is A Barrier,Lack Of Experience Or Skills Is A Barrier,Traditional Views Of Women Is A Barrier,Lack Of ICT Access Is A Barrier,What Are Barriers To Women?,Strength Of Belief That Government Is Helping Women,What Helped You The Most?,Gender,Education,Age
No,No,No,No,No,No,No,Yes,No,,No,No,No,No,Yes,No,,3,,Male,Beyond Secondary School,33
Yes,No,No,Yes,Yes,No,No,No,No,,No,No,Yes,Yes,No,No,,2,,Female,Beyond Secondary School,43
No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,38
No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,27
No,No,Yes,No,Yes,No,No,No,No,,No,Yes,No,No,Yes,No,,4,Education,Female,Beyond Secondary School,28
No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,4,Education free of charge and not accepting traditional views of women's roles,Female,Beyond Secondary School,46
Yes,No,No,No,No,Yes,No,No,No,be yourself,No,Yes,Yes,No,No,No,,3,"good education, determination, luck, a good understandable partner, health, et",Female,Beyond Secondary School,53
No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,4,"A good education, support from my family",Female,Beyond Secondary School,39
No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,Free education; financial support while studying; a lot of opportunities,Female,Beyond Secondary School,24
No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,4,"excellent education and lots of opportunity, coupled with hard work",Male,Beyond Secondary School,54
No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,33
No,No,No,Yes,Yes,No,No,No,No,,No,Yes,No,No,Yes,No,,1,,Female,Beyond Secondary School,23
No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,5,,Female,Beyond Secondary School,47
No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,5,,Female,Finished Primary School,15
No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,My own initiative and perseverence,Female,Beyond Secondary School,33
No,No,Yes,No,No,No,No,No,No,Changing social norms,No,No,No,No,No,No,Social norms,5,,Male,Beyond Secondary School,33
No,Yes,Yes,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,4,"Education and support from family, friends and colleagues.",Male,Beyond Secondary School,29
No,No,No,No,No,Yes,No,No,No,institutional policy to boost gender equality,No,No,Yes,No,Yes,No,,1,a very good education and a very supportive family,Female,Beyond Secondary School,35
Yes,Yes,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,5,With the help of my parents I find my participation in modern life. Of course self confidence and education which I gain was golden bridge between job.,Female,Beyond Secondary School,25
No,No,Yes,No,No,Yes,No,No,No,,No,No,No,Yes,Yes,No,,2,Education and belonging to a family that valued education and clearly understood that women empowerment without economic independence is but hollow.,Female,Beyond Secondary School,50
No,No,No,No,No,No,No,No,No,a cultural shift for men,No,No,No,No,Yes,No,,2,motivation,Female,Beyond Secondary School,24
No,No,No,No,No,No,No,No,No,Shared family responsibilities with men,No,No,No,No,Yes,No,,2,My education and my network,Female,Beyond Secondary School,43
No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,27
No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,Good education.,Female,Beyond Secondary School,16
No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,3,Working hard to prove over and over again to challenge other people's assumptions about me that I'm not intelligent or talented or driven.,Female,Beyond Secondary School,24
No,No,No,No,Yes,No,No,Yes,No,,No,Yes,No,No,Yes,No,,3,Education and change of attitudes & culture that gave me more opportunities than women before me. Equality legislation,Female,Beyond Secondary School,58
Yes,No,Yes,No,No,No,Yes,No,No,,Yes,No,No,No,Yes,No,,4,In my life education and family support helped to get a good job. I have been working since four years and the good working environment helps to continue the same. There is no gender discrimination at my work place. They provide minimum and equal wages for men as well as women.,Female,Beyond Secondary School,24
No,No,Yes,No,Yes,No,No,No,No,,No,No,No,No,No,No,Marriage before education,1,"My mother. She pushed me to finish college. Also, not marrying young and having children at a young age has helped me to become an independent woman today. I would like kids in the future, but after I secure my place in this world.",Female,Finished Secondary School,27
No,No,No,No,No,No,No,No,No,"A mixture of the above, better education, access to banking, role models and mentors, and maternity/paternity leave as well as childcare",No,No,No,No,Yes,No,,4,My tenacity and fear for my kids if I couldn't provide for them.  I supported myself in getting an education overcoming fears of not being good enough and found mentors who supported me,Female,Beyond Secondary School,58
No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,Education Education Education,Female,Beyond Secondary School,29
No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,"My education formed a strong base which gave me knowledge skills and aspiration. I had a successful career and no complaints until Inhad my children. Since then opportunities have been limited, simply trying to apply my extensive skills and knowledge in the traditional corporate context is challenging. Education was the initial catalyst for my success. Children and lack of flexibility around hours and childcare have been the brakes",Female,Beyond Secondary School,33
No,No,Yes,Yes,No,No,No,No,No,,No,Yes,No,No,Yes,No,,4,Good role models who encouraged me to study hard and earn a university degree. In my family emphasis on education occurred from early on. I had strong female role models who were able to balance work and family life. My extended family system did not subscribe to traditional norms of women having a lesser say or opinion than males. Our opinions and ideas were treated with equal merit as those who were men.,Female,Beyond Secondary School,28
No,No,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,,1,"Believing that i can do anything through Christ who gives me strength. Philippians 4:13
Taking every opportunity to advance myself in education, skills and character.
Not letting a man or men to distract me from my progress in life.",Female,Beyond Secondary School,56
No,No,No,No,No,Yes,Yes,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,25
No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,4,Education,Female,Beyond Secondary School,36
Yes,Yes,No,No,No,No,Yes,No,Yes,,No,No,No,Yes,Yes,No,,4,,Male,Beyond Secondary School,34
No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,2,education,Female,Beyond Secondary School,30
Yes,No,Yes,Yes,No,No,No,No,No,,No,No,No,Yes,Yes,No,,2,"A well rounded education and laws for equal rights were in place  Unfortunately, equal pay was understated.",Female,Beyond Secondary School,50
No,No,Yes,No,No,No,Yes,No,No,,No,No,Yes,No,Yes,No,,4,"a good education and supportive family (first parents, then husband) and friends",Female,Beyond Secondary School,64
No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,1,,Female,Beyond Secondary School,25
No,No,Yes,No,No,Yes,No,No,No,,No,No,No,Yes,Yes,No,,4,,Male,Beyond Secondary School,39
No,No,Yes,No,No,No,No,No,No,Local and national government interventions,No,No,Yes,No,Yes,No,,4,"Quality education, informal opportunities to build my skills, laws that promote equal access to economic opportunities",Female,Beyond Secondary School,25
No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,No,No,family / work balance -,3,"good education, supportive parents, inspiring environment, government support (welfare state)",Female,Beyond Secondary School,43
No,No,No,Yes,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,4,to set a good example for my two daughters,Female,Beyond Secondary School,45
No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,"free education, equaty in access first trainee job, lots of perseverance and learned to fight in a man's world.",Female,Beyond Secondary School,47
No,No,No,No,Yes,Yes,No,No,No,,No,No,Yes,Yes,No,No,,4,Education and family support,Female,Beyond Secondary School,36
No,No,No,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,2,,Female,Beyond Secondary School,28
No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,25
No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,26
No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,fear of failure,2,strong support from family and friends,Female,Beyond Secondary School,27
No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,39
No,No,Yes,No,Yes,No,No,No,No,,Yes,No,No,No,Yes,No,,3,,Male,Beyond Secondary School,28
No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,4,,Female,Some Primary School,16
No,No,Yes,No,No,No,Yes,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,26
No,No,No,No,No,No,No,Yes,No,,No,No,No,No,Yes,No,"The glass walls (negative cultural norms, gbv, opportunity cut of from the age of ten) that suggest 'women dont/cant do x.",1,Education and exposure to different contexts,Female,Beyond Secondary School,54
No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,5,Networks,Female,Beyond Secondary School,26
No,No,Yes,No,Yes,No,No,No,No,,Yes,No,No,No,Yes,No,,2,"Education and a self taught confidence. I come from a family of 10 older siblings, I'm the only one with education up to the tertiary level, the only with a job and sustainable income and the only one without a child(although the latter is poorly regarded in my village).",Female,Beyond Secondary School,30
No,No,No,No,No,No,No,No,No,"There is no one single solution, all of the above are important",No,No,No,No,No,No,It is different for everyone woman,4,,Female,Beyond Secondary School,30
No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,24
No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,1,,Female,Beyond Secondary School,18
No,No,Yes,No,No,No,No,No,No,no discriminations at work,No,No,No,No,No,No,lack of self confidence,2,,Male,Finished Primary School,17
No,No,No,No,Yes,No,No,No,No,,No,No,Yes,No,No,No,,3,,Male,Beyond Secondary School,18
No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,20
Yes,Yes,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,5,,Male,Beyond Secondary School,21
No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,,Female,Finished Secondary School,33
Yes,Yes,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,1,Family support,Female,Beyond Secondary School,25
No,No,Yes,No,No,No,Yes,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,28
Yes,Yes,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,5,,Male,Finished Primary School,15
No,No,No,No,No,No,No,No,No,Increased value in shared parenting,No,No,No,No,Yes,No,,3,"Good education, support from family/community, and strong role models to build confidence",Female,Beyond Secondary School,29
Yes,No,No,No,No,No,No,No,No,Compromise and understanding between sexes,No,No,No,No,Yes,No,,2,,Male,Beyond Secondary School,22
No,No,Yes,Yes,No,No,No,No,No,,No,Yes,No,No,Yes,No,,3,,Female,Beyond Secondary School,18
No,No,Yes,No,No,No,No,No,No,Ensuring that women can be actively involved in decision making and are fully aware of their human rights.,No,No,No,No,Yes,No,,1,,Female,Finished Secondary School,17
No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,5,,Female,Beyond Secondary School,22
Yes,No,No,No,Yes,No,No,No,No,,No,No,No,No,Yes,No,,4,"I'm 24 years old, and own my own business. The field in which I work is definitely male dominated-welding and manufacturing.  But I do what I love, and I ignore the people who don't think I am capable. I run the show. I refuse to allow sexists to tell me what I can and can't do. Instead, I show them that I can do it and much better than they could.",Female,Beyond Secondary School,24
Yes,No,No,No,No,No,No,Yes,Yes,,No,No,No,No,Yes,Yes,,2,,Male,Beyond Secondary School,1
No,No,Yes,No,No,Yes,No,No,No,,No,Yes,Yes,No,No,No,,3,,Female,Beyond Secondary School,27
No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,26
No,No,Yes,No,No,No,No,No,Yes,,No,No,Yes,No,Yes,No,,4,"Universities, conferences",Female,Beyond Secondary School,27
No,,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,2,Education,Female,Beyond Secondary School,45
No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,Education and family support,Female,Beyond Secondary School,51
No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,No,Yes,,4,"good education and upbringing, family support and working hard",Female,Beyond Secondary School,39
Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,,Female,Finished Primary School,20
No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Finished Secondary School,19
No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,2,My education,Female,Beyond Secondary School,26
No,No,No,Yes,No,Yes,No,No,No,,No,Yes,No,No,Yes,No,,2,,Female,Beyond Secondary School,22
No,No,Yes,No,Yes,No,No,No,No,,No,Yes,No,No,Yes,No,,2,,Female,Finished Secondary School,14
No,No,No,Yes,No,No,No,No,No,,No,No,No,No,No,No,Lack of confidence,2,The will - because I am a fighter - but also the help and support of a man!,Female,Beyond Secondary School,29
No,No,Yes,No,No,No,No,No,No,Private sector should adopt the same practices as public sector for pay fairness,No,No,No,No,Yes,No,Allowing gender to define intellect,1,"Education; I hold 4 degrees, have taken many assessments and have done a lot of reading. I still earn less than some men with lesser qualifications and equal or lesser experiences.",Female,Beyond Secondary School,45
No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,26
Yes,No,No,Yes,No,No,No,No,No,No social discrimination on working women,No,No,Yes,No,Yes,No,,2,"Education, family support, and work opportunity",Female,Beyond Secondary School,28
No,No,Yes,No,No,Yes,No,No,No,,Yes,No,No,No,Yes,No,,1,,Female,Finished Secondary School,23
No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,Yes,No,No,,4,,Female,Beyond Secondary School,22
Yes,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,2,"I educated myself. Apart from the formal education I received, I invested time learning online",Female,Beyond Secondary School,23
No,No,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,3,,Female,Beyond Secondary School,28
Yes,Yes,Yes,Yes,No,No,No,No,No,,Yes,No,No,No,Yes,No,,3,Test,Female,Finished Secondary School,23
No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,"My mother's view on the necessity of woman's education and the understanding about woman's status in the society through education and movies, helped me reach the position, I am in right now.",Female,Beyond Secondary School,23
Yes,Yes,Yes,Yes,No,No,No,No,No,,Yes,Yes,No,No,No,No,,5,Testing partner,Male,Beyond Secondary School,5
Yes,Yes,No,No,No,No,No,No,No,test,No,No,No,No,No,No,test,3,test,Male,Finished Primary School,2
No,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,,3,,Other,Some Primary School,2
Yes,Yes,Yes,Yes,No,No,No,No,No,,Yes,Yes,No,No,No,No,,4,Testing 3,Other,Finished Primary School,4
Yes,Yes,Yes,No,Yes,No,No,No,No,,No,No,No,Yes,Yes,No,,3,Test 123,Female,Some Primary School,10
No,No,No,Yes,No,No,No,No,No,Companies should be encouraged to hire more women.,No,No,Yes,No,Yes,No,,2,"Certainly education has helped get a good job, but there are still too many barriers that only education cannot solve. For example, we have the social class problem. I come from a middle class family, thus I had more chance to study than many women.",Female,Beyond Secondary School,26
Yes,Yes,Yes,No,Yes,No,No,No,No,,Yes,No,Yes,No,No,No,,4,Tetsing again,Female,Some Primary School,21
No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,21
No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,45
No,Yes,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,22
Yes,No,Yes,No,No,No,No,No,No,Real opportunities in the workforce,No,No,Yes,No,Yes,No,,3,Working to get there,Female,Beyond Secondary School,33
No,No,No,Yes,No,No,No,No,No,,No,No,Yes,No,No,No,,3,,Female,Beyond Secondary School,20
No,No,Yes,No,No,No,No,No,No,Entrepreneurship skills training,No,No,Yes,No,Yes,No,,4,Parental care and excellent education gave me confidence. Access to family planning enabled me to delay having children and space my family. Being a sportswoman gave me a powerful network and volunteering as an adult leader in Scouting and in the feminist leadership organization Akina Mama Wa Afrika gives me an opportunity to give back. As an entrepreneur I am happy to create jobs and put products on the market,Female,Beyond Secondary School,65
No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,4,Education,Female,Beyond Secondary School,60
No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,4,"A good education, opportunities in society and cultural acceptance",Female,Beyond Secondary School,45
Yes,No,Yes,No,No,No,Yes,No,No,,No,No,No,No,Yes,No,Corruption and tribalism,1,Education but yet it has not helped me get a good job.,Male,Beyond Secondary School,31
No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,No,No,,3,I had mentors that encouraged me to get a good education abroad because it helps with exposure. I am currently pursuing that and I belive I stand a better chance to get a good paying job.,Female,Beyond Secondary School,24
No,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,"Standing up for myself and finding the courage to fight when needed. It's all about the mindset. But, it needs and can be changed, women just need a bit of help.",Female,Beyond Secondary School,33
No,No,No,No,No,No,No,Yes,No,Not being promoted or given same chance as men or better connected people,No,No,No,No,Yes,No,Not Been taken serously with your ideas and not supported,3,Not university. Working hard outside office hours and working abroad.,Female,Beyond Secondary School,33
Yes,No,No,Yes,No,No,Yes,No,No,,No,No,No,No,Yes,No,,3,,Male,Beyond Secondary School,55
Yes,No,Yes,No,No,No,No,No,Yes,,No,No,Yes,No,No,Yes,,3,"I still haven't gotten a job, hope our government does something for women employment!",Female,Finished Secondary School,18
No,No,Yes,No,Yes,No,No,No,No,,No,Yes,No,No,Yes,No,,4,,Male,Beyond Secondary School,68
No,No,Yes,No,No,No,No,No,Yes,,No,No,No,Yes,Yes,No,,3,"My education and experience in my field of work has enabled me get a good job. Apart from the above, being aggressive and upto date with current issues has been important in my job search.",Male,Beyond Secondary School,27
No,No,No,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,,Male,Beyond Secondary School,22
No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,Education has been key as i have equally as competent as my male colleagues but more role models at the top of organisations will change the current sterotype idea of women being at the top and provide more opportuinites to other women,Female,Beyond Secondary School,27
No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,24
No,Yes,No,Yes,No,No,No,Yes,No,,Yes,No,Yes,No,No,No,,5,"I am a solo parent of 5. When I get separated with my husband, I am determined that whatever happen, I need to raise my children singlehandedly. I never wasted my time,get back to my feet again and seek for jobs and more income-generating tasks. I worked hard enough for them to be where they are now. After 21 years, my children had a good job now and and they are now the one supporting me. Glory to God!",Female,Beyond Secondary School,56
Yes,No,Yes,No,No,No,No,No,No,Vocational Rehabilitation and Training,No,No,Yes,Yes,No,No,,3,,Female,Beyond Secondary School,37
No,No,No,No,No,No,Yes,No,No,,No,No,No,Yes,No,No,,2,"Educación, Capacitaciones con certificados, experiencias laborales, opoyo familiar.",Female,Finished Secondary School,25
No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,21
Yes,Yes,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,5,My education and skills what helped me earn. My determination and support from my husband has played the important part in it.,Female,Beyond Secondary School,44
Yes,,Yes,No,No,No,Yes,No,No,,Yes,No,Yes,No,No,No,,1,My mother has a well paid job at pharmaceutical company. She is well educated and encouraged her children to do the same. She never made clear difference between boy or girl. That made me confident and i could do my job as an assistent manager without fear.,Female,Beyond Secondary School,26
Yes,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,Yes,No,,5,As we have family responsibility  we are not able to save any money we earn..,Female,Some Primary School,46
No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,1,A good education.,Female,Beyond Secondary School,55
No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,4,"Education
Female role models",Female,Beyond Secondary School,30
No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,2,Access to networks that matter. Strong sense of self and purpose. Tenacity. Education and financial securit.,Female,Beyond Secondary School,59
No,No,Yes,No,No,No,No,No,No,"moving away from the culture of ""sameness,"" & learning to value the different traits in men & women because they complement one another",No,Yes,No,No,Yes,No,,2,"Good education + good social & networking skills, as well as inherently-higher-levels of masculine traits than feminine (for a woman) that would align everything for me with what is expected within the current, heavily-masculine structures. Statistically speaking, though, women exhibit more feminine traits than masculine & admittedly, I belong to a minority of women. Now, for women to belong, to feel comfortable and valued, the structures & expectations need to change NOT women.",Female,Beyond Secondary School,41
No,No,Yes,No,No,No,Yes,No,No,,No,No,Yes,No,Yes,No,,3,My level of education does that.,Male,Beyond Secondary School,48
No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,3,Good education and a husband that has shared with me (50/50) family responsibilities.,Female,Beyond Secondary School,50
No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,4,,Female,Beyond Secondary School,24
No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,No,No,Falta de apoyo gubernamental para créditos especiales e inversión en el capital intelectual,1,"Las oportunidades. Tomar trabajos temporales en los que conocí gente que me ofrecieron oportunidades de otros trabajos.  
El trabajo duro me dio reconocimiento y los créditos personales me han ayudado a aliviar la carga económica de mi casa.",Female,Beyond Secondary School,29
No,No,No,No,Yes,No,No,No,No,,No,No,No,No,Yes,No,,4,"Having an education was critical to expanding my opportunities, but ultimately the fact that my family was financially stable and able to support me living at home while searching for a job was the most helpful. That level of flexibility and comfort gave me the freedom to wait to find a good job, rather that the first one that I was offered.",Female,Beyond Secondary School,29
No,No,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,,3,,Female,Finished Secondary School,43
No,No,Yes,No,No,No,No,No,No,Empowerments,No,No,Yes,Yes,No,No,,3,To start with a woman should start her life with a decent education. Abuniversity degree is a must.  Yes my BS DEGREE HAS HELPED A LOT AND SHAPED MY WHOLE LIFE.  Women empowerment programs also have helped a lot. The only thing I miss is having a good mentor which i wished i have one. She could have helped me more and more to acheive my highest economic desires.,Female,Beyond Secondary School,49
No,No,Yes,No,No,Yes,No,No,No,,No,No,No,Yes,No,No,,4,,Female,Beyond Secondary School,27
Yes,No,No,No,No,No,Yes,No,No,,No,No,No,Yes,No,No,,3,Experience,Female,Beyond Secondary School,31
No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,25
No,No,Yes,No,No,No,No,No,No,"Inexpensive quality child care, men pulling their weight in family responsibilities",No,No,Yes,No,No,No,Lack of female mentors,3,My education of 5 university degrees gives me many opportunities for employment and income.,Female,Beyond Secondary School,54
Yes,No,Yes,Yes,No,No,No,No,No,,No,No,No,Yes,Yes,No,,3,Having great mentors (men) at home and at my Work,Female,Beyond Secondary School,34
No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,2,"good education, drive to succeed, hard work, work experience, mentors and guides, family support",Female,Beyond Secondary School,41
No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,24
No,No,No,No,No,No,No,Yes,Yes,,No,No,Yes,No,Yes,No,,4,"Childcare, financial support, education for grown ups, non discrimination laws",Female,Beyond Secondary School,63
No,No,Yes,No,Yes,No,No,No,No,,No,Yes,No,No,Yes,No,,3,,Male,Beyond Secondary School,45
No,No,No,No,Yes,No,No,Yes,No,,No,No,Yes,No,Yes,No,,2,"Education, financial support by family, freedom of movement and migration as a single woman, freedom of choice.",Female,Beyond Secondary School,30
No,No,No,Yes,No,No,No,Yes,No,,Yes,No,Yes,No,No,No,,4,,Female,Finished Secondary School,22
Yes,Yes,Yes,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,,2,"Good education, supportive husband has helped me to get all of this.",Female,Beyond Secondary School,57
No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,Good after school care & an employer that understood family emergencies & allowed paid time off to address them,Female,Finished Secondary School,58
